financial_resources_rank,faculty_resources_rank,high_school_counselor_score_out_of_5,average_freshman_retention_rate,graduation_and_retention_rank,satact_25th_75th_percentile,student_selectivity_rank,rank,freshmen_in_top_10_percent_of_high_school_class,classes_with_50_or_more_students,classes_with_fewer_than_20_students,student_faculty_ratio,url,location,enrollment,tuition,predicted_graduation_rate,school_name,alumni_giving_rank,percent_of_faculty_who_are_full_time,six_year_graduation_rate,freshmen_in_top_25_percent_of_high_school_class,overperformanceunderperformance,fall_2013_acceptance_rate,peer_assessment_score_out_of_5,average_alumni_giving_rate
97,68,3.8,85,108,24-29,113,#88Tie,27,16,46.7,18:1,/best-colleges/cu-boulder-1370,"Boulder, CO",31702,"in-state: $10,789, out-of-state: $33,151",68,University of Colorado—​Boulder,156,89.3,70,56,2,87.7,3.5,7.8
89,77,3.6,87,79,25-30,83,#88Tie,45,6,49.7,11:1,/best-colleges/university-denver-1371,"Denver, CO",11778,"$42,090",73,University of Denver,132,74.5,78,76,5,76.7,2.8,9
71,28,3.6,88,108,25-32,43,#88Tie,74,2,61.8,11:1,/best-colleges/university-of-tulsa-3185,"Tulsa, OK",4597,"$34,704",81,University of Tulsa,37,91.1,69,90,-12,40.6,2.6,20.6
55,55,4,85,114,1070-1310,113,#95Tie,33,7,56.7,9:1,/best-colleges/drexel-university-3256,"Philadelphia, PA",23620,"$47,051",73,Drexel University,132,77.4,70,61,-3,81.5,3,9.1
214,129,3.6,92,76,25-29,83,#95Tie,42,15,33.6,26:1,/best-colleges/fsu-1489,"Tallahassee, FL",40909,"in-state: $6,507, out-of-state: $21,673",69,Florida State University,54,90.6,77,77,8,56.8,3,17.5
97,176,3.8,92,86,1150-1320,71,#95Tie,50,17,28,17:1,/best-colleges/north-carolina-state-raleigh-2972,"Raleigh, NC",34009,"in-state: $8,296, out-of-state: $23,551",74,North Carolina State University—​Raleigh,90,94.6,74,80,0,46.9,3.1,13.1
103,106,3.9,89,82,1110-1320,71,#95Tie,45,0.3,39.4,15:1,/best-colleges/university-of-san-diego-10395,"San Diego, CA",8321,"$42,908",76,University of San Diego,104,70.7,75,91,-1,48.9,2.8,11.9
89,106,3.9,86,94,25-30,71,#99Tie,41,8,53.5,12:1,/best-colleges/st-louis-university-2506,"St. Louis, MO",13505,"$37,966",74,Saint Louis University,90,80.1,70,74,-4,63.6,2.9,13
171,129,3.7,84,103,23-28,99,#99Tie,27,16,42.2,20:1,/best-colleges/university-of-missouri-2516,"Columbia, MO",34658,"in-state: $9,433, out-of-state: $24,460",66,University of Missouri,60,97,70,58,4,78.6,3.3,16
125,91,3.8,84,124,22-28,113,#99Tie,26,15,40.7,21:1,/best-colleges/university-of-nebraska-2565,"Lincoln, NE",24445,"in-state: $8,060, out-of-state: $21,388",64,University of Nebraska—​Lincoln,37,99.5,67,52,3,64,3.1,20.5
134,99,3.7,87,79,1000-1210,172,#99Tie,20,16,44.1,19:1,/best-colleges/university-of-new-hampshire-2589,"Durham, NH",14942,"in-state: $16,552, out-of-state: $29,532",65,University of New Hampshire,166,81,80,50,15,77.8,2.8,7.6
125,118,3.9,89,108,24-30,94,#103Tie,29,16,30.3,18:1,/best-colleges/auburn-university-1009,"Auburn, AL",24864,"in-state: $10,200, out-of-state: $27,384",67,Auburn University,104,95.2,68,60,1,82.7,3.1,11.4
